state_component, stat, schedule, label_scheme, N, result
requested.all, l2, 1, a, 5856, 0.0089642
requested.all, l2.binary, 1, a, 5856, 0.0089642
requested.all, avgp, 1, a, 5856, 0.9914387
requested.all, neglogp, 1, a, 5856, 0.0248966
requested.all, mrr, 1, a, 5856, 0.9970116
requested.all, update.acc, 1, a, 5856, 0.9594320
requested.all, update.prec, 1, a, 5856, 0.9692623
requested.all, roc.v1_eer, 1, a, 5856, 0.0063183
requested.all, roc.v1_ca05, 1, a, 5856, 0.9940232
requested.all, roc.v1_ca10, 1, a, 5856, 0.9940232
requested.all, roc.v1_ca20, 1, a, 5856, 0.9940232
requested.all, roc.v2_ca05, 1, a, 5856, 0.0001718
requested.all, roc.v2_ca10, 1, a, 5856, 0.0001718
requested.all, roc.v2_ca20, 1, a, 5856, 0.0001718
method, acc, 1, a, 732, 0.5669399
method, l2, 1, a, 732, 0.5897258
method, l2.binary, 1, a, 732, 0.6521624
method, avgp, 1, a, 732, 0.5577408
method, neglogp, 1, a, 732, 1.0968183
method, mrr, 1, a, 732, 0.7603597
method, update.acc, 1, a, 732, 0.5720524
method, update.prec, 1, a, 732, 0.5874439
method, roc.v1_eer, 1, a, 732, 0.3715847
method, roc.v1_ca05, 1, a, 732, 0.2759563
method, roc.v1_ca10, 1, a, 732, 0.3401639
method, roc.v1_ca20, 1, a, 732, 0.3866120
method, roc.v2_ca05, 1, a, 732, 0.3975904
method, roc.v2_ca10, 1, a, 732, 0.4457831
method, roc.v2_ca20, 1, a, 732, 0.5783133
all, acc, 1, a, 9516, 0.9418873
all, l2, 1, a, 9516, 0.0876930
all, l2.binary, 1, a, 9516, 0.0957687
all, avgp, 1, a, 9516, 0.9343225
all, neglogp, 1, a, 9516, 0.2329536
all, mrr, 1, a, 9516, 0.9644056
all, update.acc, 1, a, 9516, 0.8746976
all, update.prec, 1, a, 9516, 0.8761812
all, roc.v1_eer, 1, a, 9516, 0.0556957
all, roc.v1_ca05, 1, a, 9516, 0.9316940
all, roc.v1_ca10, 1, a, 9516, 0.9418873
all, roc.v1_ca20, 1, a, 9516, 0.9418873
all, roc.v2_ca05, 1, a, 9516, 0.0001116
all, roc.v2_ca10, 1, a, 9516, 0.0001116
all, roc.v2_ca20, 1, a, 9516, 0.9253598
goal.food, acc, 1, b, 732, 0.6270492
goal.food, l2, 1, b, 732, 0.7084458
goal.food, l2.binary, 1, b, 732, 0.7278579
goal.food, avgp, 1, b, 732, 0.6166007
goal.food, neglogp, 1, b, 732, 3.1270841
goal.food, mrr, 1, b, 732, 0.6796448
goal.food, update.acc, 1, b, 732, 0.3208020
goal.food, update.prec, 1, b, 732, 0.9142857
goal.food, roc.v1_eer, 1, b, 732, 0.5191257
goal.food, roc.v1_ca05, 1, b, 732, 0.0000000
goal.food, roc.v1_ca10, 1, b, 732, 0.0000000
goal.food, roc.v1_ca20, 1, b, 732, 0.0000000
goal.food, roc.v2_ca05, 1, b, 732, 0.0000000
goal.food, roc.v2_ca10, 1, b, 732, 0.0000000
goal.food, roc.v2_ca20, 1, b, 732, 0.0000000
goal.pricerange, acc, 1, b, 732, 0.8346995
goal.pricerange, l2, 1, b, 732, 0.3213086
goal.pricerange, l2.binary, 1, b, 732, 0.3238942
goal.pricerange, avgp, 1, b, 732, 0.8259470
goal.pricerange, neglogp, 1, b, 732, 1.4248773
goal.pricerange, mrr, 1, b, 732, 0.8595173
goal.pricerange, update.acc, 1, b, 732, 0.3802083
goal.pricerange, update.prec, 1, b, 732, 0.9605263
goal.pricerange, roc.v1_eer, 1, b, 732, 0.2855191
goal.pricerange, roc.v1_ca05, 1, b, 732, 0.0000000
goal.pricerange, roc.v1_ca10, 1, b, 732, 0.0000000
goal.pricerange, roc.v1_ca20, 1, b, 732, 0.8346995
goal.pricerange, roc.v2_ca05, 1, b, 732, 0.0000000
goal.pricerange, roc.v2_ca10, 1, b, 732, 0.0000000
goal.pricerange, roc.v2_ca20, 1, b, 732, 0.0000000
goal.name, acc, 1, b, 732, 1.0000000
goal.name, l2, 1, b, 732, 0.0000201
goal.name, l2.binary, 1, b, 732, 0.0000201
goal.name, avgp, 1, b, 732, 0.9996095
goal.name, neglogp, 1, b, 732, 0.0003957
goal.name, mrr, 1, b, 732, 1.0000000
goal.name, update.acc, 1, b, 732, -
goal.name, update.prec, 1, b, 732, -
goal.name, roc.v1_eer, 1, b, 732, 0.0000000
goal.name, roc.v1_ca05, 1, b, 732, 1.0000000
goal.name, roc.v1_ca10, 1, b, 732, 1.0000000
goal.name, roc.v1_ca20, 1, b, 732, 1.0000000
goal.name, roc.v2_ca05, 1, b, 732, -
goal.name, roc.v2_ca10, 1, b, 732, -
goal.name, roc.v2_ca20, 1, b, 732, -
goal.area, acc, 1, b, 732, 0.8155738
goal.area, l2, 1, b, 732, 0.3330243
goal.area, l2.binary, 1, b, 732, 0.3580436
goal.area, avgp, 1, b, 732, 0.7726703
goal.area, neglogp, 1, b, 732, 1.1603357
goal.area, mrr, 1, b, 732, 0.8598361
goal.area, update.acc, 1, b, 732, 0.4036697
goal.area, update.prec, 1, b, 732, 0.8712871
goal.area, roc.v1_eer, 1, b, 732, 0.2486339
goal.area, roc.v1_ca05, 1, b, 732, 0.0000000
goal.area, roc.v1_ca10, 1, b, 732, 0.5860656
goal.area, roc.v1_ca20, 1, b, 732, 0.8155738
goal.area, roc.v2_ca05, 1, b, 732, 0.0000000
goal.area, roc.v2_ca10, 1, b, 732, 0.0000000
goal.area, roc.v2_ca20, 1, b, 732, 0.0000000
goal.all, acc, 1, b, 2928, 0.8193306
goal.all, l2, 1, b, 2928, 0.3406997
goal.all, l2.binary, 1, b, 2928, 0.3524539
goal.all, avgp, 1, b, 2928, 0.8037069
goal.all, neglogp, 1, b, 2928, 1.4281732
goal.all, mrr, 1, b, 2928, 0.8497495
goal.all, update.acc, 1, b, 2928, 0.8037082
goal.all, update.prec, 1, b, 2928, 0.8680888
goal.all, roc.v1_eer, 1, b, 2928, 0.2506831
goal.all, roc.v1_ca05, 1, b, 2928, 0.0000000
goal.all, roc.v1_ca10, 1, b, 2928, 0.0000000
goal.all, roc.v1_ca20, 1, b, 2928, 0.8193306
goal.all, roc.v2_ca05, 1, b, 2928, 0.0000000
goal.all, roc.v2_ca10, 1, b, 2928, 0.0000000
goal.all, roc.v2_ca20, 1, b, 2928, 0.0000000
goal.joint, acc, 1, b, 732, 0.5068306
goal.joint, l2, 1, b, 732, 0.8762441
goal.joint, l2.binary, 1, b, 732, 0.9823710
goal.joint, avgp, 1, b, 732, 0.4649172
goal.joint, neglogp, 1, b, 732, 4.1614585
goal.joint, mrr, 1, b, 732, 0.5627656
goal.joint, update.acc, 1, b, 732, 0.2324094
goal.joint, update.prec, 1, b, 732, 0.3935018
goal.joint, roc.v1_eer, 1, b, 732, 0.4453552
goal.joint, roc.v1_ca05, 1, b, 732, 0.0000000
goal.joint, roc.v1_ca10, 1, b, 732, 0.0969945
goal.joint, roc.v1_ca20, 1, b, 732, 0.2431694
goal.joint, roc.v2_ca05, 1, b, 732, 0.0000000
goal.joint, roc.v2_ca10, 1, b, 732, 0.0000000
goal.joint, roc.v2_ca20, 1, b, 732, 0.1913747
goal.joint_independent, acc, 1, b, 732, 0.5068306
goal.joint_independent, l2, 1, b, 732, 0.8762441
goal.joint_independent, l2.binary, 1, b, 732, 0.9823710
goal.joint_independent, avgp, 1, b, 732, 0.4649172
goal.joint_independent, neglogp, 1, b, 732, 4.1614585
goal.joint_independent, mrr, 1, b, 732, 0.5627656
goal.joint_independent, update.acc, 1, b, 732, 0.2324094
goal.joint_independent, update.prec, 1, b, 732, 0.3935018
goal.joint_independent, roc.v1_eer, 1, b, 732, 0.4453552
goal.joint_independent, roc.v1_ca05, 1, b, 732, 0.0000000
goal.joint_independent, roc.v1_ca10, 1, b, 732, 0.0969945
goal.joint_independent, roc.v1_ca20, 1, b, 732, 0.2431694
goal.joint_independent, roc.v2_ca05, 1, b, 732, 0.0000000
goal.joint_independent, roc.v2_ca10, 1, b, 732, 0.0000000
goal.joint_independent, roc.v2_ca20, 1, b, 732, 0.1913747
method, acc, 1, b, 732, 0.8551913
method, l2, 1, b, 732, 0.2982622
method, l2.binary, 1, b, 732, 0.3382326
method, avgp, 1, b, 732, 0.7034726
method, neglogp, 1, b, 732, 0.5935022
method, mrr, 1, b, 732, 0.9174408
method, update.acc, 1, b, 732, 0.8351178
method, update.prec, 1, b, 732, 0.8744395
method, roc.v1_eer, 1, b, 732, 0.2540984
method, roc.v1_ca05, 1, b, 732, 0.4863388
method, roc.v1_ca10, 1, b, 732, 0.7008197
method, roc.v1_ca20, 1, b, 732, 0.8551913
method, roc.v2_ca05, 1, b, 732, 0.3530351
method, roc.v2_ca10, 1, b, 732, 0.4281150
method, roc.v2_ca20, 1, b, 732, 0.5063898
all, acc, 1, b, 9516, 0.9295923
all, l2, 1, b, 9516, 0.1332903
all, l2.binary, 1, b, 9516, 0.1399817
all, avgp, 1, b, 9516, 0.9115238
all, neglogp, 1, b, 9516, 0.5004129
all, mrr, 1, b, 9516, 0.9455794
all, update.acc, 1, b, 9516, 0.8539326
all, update.prec, 1, b, 9516, 0.8839351
all, roc.v1_eer, 1, b, 9516, 0.0992013
all, roc.v1_ca05, 1, b, 9516, 0.8824086
all, roc.v1_ca10, 1, b, 9516, 0.9295923
all, roc.v1_ca20, 1, b, 9516, 0.9295923
all, roc.v2_ca05, 1, b, 9516, 0.0000000
all, roc.v2_ca10, 1, b, 9516, 0.0000000
all, roc.v2_ca20, 1, b, 9516, 0.0000000
goal.food, acc, 2, a, 586, 0.8242321
goal.food, l2, 2, a, 586, 0.3054447
goal.food, l2.binary, 2, a, 586, 0.3291057
goal.food, avgp, 2, a, 586, 0.8108321
goal.food, neglogp, 2, a, 586, 1.2429980
goal.food, mrr, 2, a, 586, 0.8620592
goal.food, update.acc, 2, a, 586, 0.5638767
goal.food, update.prec, 2, a, 586, 0.9142857
goal.food, roc.v1_eer, 2, a, 586, 0.1808874
goal.food, roc.v1_ca05, 2, a, 586, 0.6740614
goal.food, roc.v1_ca10, 2, a, 586, 0.7508532
goal.food, roc.v1_ca20, 2, a, 586, 0.8242321
goal.food, roc.v2_ca05, 2, a, 586, 0.0020704
goal.food, roc.v2_ca10, 2, a, 586, 0.0020704
goal.food, roc.v2_ca20, 2, a, 586, 0.0020704
goal.pricerange, acc, 2, a, 485, 0.9443299
goal.pricerange, l2, 2, a, 485, 0.1063085
goal.pricerange, l2.binary, 2, a, 485, 0.1081679
goal.pricerange, avgp, 2, a, 485, 0.9266235
goal.pricerange, neglogp, 2, a, 485, 0.3903953
goal.pricerange, mrr, 2, a, 485, 0.9680412
goal.pricerange, update.acc, 2, a, 485, 0.7578947
goal.pricerange, update.prec, 2, a, 485, 0.9473684
goal.pricerange, roc.v1_eer, 2, a, 485, 0.0886598
goal.pricerange, roc.v1_ca05, 2, a, 485, 0.9340206
goal.pricerange, roc.v1_ca10, 2, a, 485, 0.9443299
goal.pricerange, roc.v1_ca20, 2, a, 485, 0.9443299
goal.pricerange, roc.v2_ca05, 2, a, 485, 0.0021834
goal.pricerange, roc.v2_ca10, 2, a, 485, 0.0021834
goal.pricerange, roc.v2_ca20, 2, a, 485, 0.0021834
goal.name, acc, 2, a, 18, 1.0000000
goal.name, l2, 2, a, 18, 0.0008156
goal.name, l2.binary, 2, a, 18, 0.0008156
goal.name, avgp, 2, a, 18, 0.9841188
goal.name, neglogp, 2, a, 18, 0.0160906
goal.name, mrr, 2, a, 18, 1.0000000
goal.name, update.acc, 2, a, 18, -
goal.name, update.prec, 2, a, 18, -
goal.name, roc.v1_eer, 2, a, 18, 0.0000000
goal.name, roc.v1_ca05, 2, a, 18, 1.0000000
goal.name, roc.v1_ca10, 2, a, 18, 1.0000000
goal.name, roc.v1_ca20, 2, a, 18, 1.0000000
goal.name, roc.v2_ca05, 2, a, 18, -
goal.name, roc.v2_ca10, 2, a, 18, -
goal.name, roc.v2_ca20, 2, a, 18, -
goal.area, acc, 2, a, 645, 0.9085271
goal.area, l2, 2, a, 645, 0.1484469
goal.area, l2.binary, 2, a, 645, 0.1738390
goal.area, avgp, 2, a, 645, 0.8567557
goal.area, neglogp, 2, a, 645, 0.3714237
goal.area, mrr, 2, a, 645, 0.9419121
goal.area, update.acc, 2, a, 645, 0.6285714
goal.area, update.prec, 2, a, 645, 0.8712871
goal.area, roc.v1_eer, 2, a, 645, 0.1193798
goal.area, roc.v1_ca05, 2, a, 645, 0.8279070
goal.area, roc.v1_ca10, 2, a, 645, 0.9085271
goal.area, roc.v1_ca20, 2, a, 645, 0.9085271
goal.area, roc.v2_ca05, 2, a, 645, 0.7627986
goal.area, roc.v2_ca10, 2, a, 645, 0.7627986
goal.area, roc.v2_ca20, 2, a, 645, 0.7627986
goal.all, acc, 2, a, 1734, 0.8910035
goal.all, l2, 2, a, 1734, 0.1881852
goal.all, l2.binary, 2, a, 1734, 0.2061466
goal.all, avgp, 2, a, 1734, 0.8621001
goal.all, neglogp, 2, a, 1734, 0.6675873
goal.all, mrr, 2, a, 1734, 0.9228374
goal.all, update.acc, 2, a, 1734, 0.8881499
goal.all, update.prec, 2, a, 1734, 0.8962782
goal.all, roc.v1_eer, 2, a, 1734, 0.1291811
goal.all, roc.v1_ca05, 2, a, 1734, 0.7670127
goal.all, roc.v1_ca10, 2, a, 1734, 0.8806228
goal.all, roc.v1_ca20, 2, a, 1734, 0.8910035
goal.all, roc.v2_ca05, 2, a, 1734, 0.0006472
goal.all, roc.v2_ca10, 2, a, 1734, 0.0006472
goal.all, roc.v2_ca20, 2, a, 1734, 0.6245955
goal.joint, acc, 2, a, 721, 0.7434119
goal.joint, l2, 2, a, 721, 0.4201508
goal.joint, l2.binary, 2, a, 721, 0.4971427
goal.joint, avgp, 2, a, 721, 0.6914845
goal.joint, neglogp, 2, a, 721, 1.6870696
goal.joint, mrr, 2, a, 721, 0.8082755
goal.joint, update.acc, 2, a, 721, 0.5601966
goal.joint, update.prec, 2, a, 721, 0.8231047
goal.joint, roc.v1_eer, 2, a, 721, 0.2330097
goal.joint, roc.v1_ca05, 2, a, 721, 0.4715673
goal.joint, roc.v1_ca10, 2, a, 721, 0.5783634
goal.joint, roc.v1_ca20, 2, a, 721, 0.7142857
goal.joint, roc.v2_ca05, 2, a, 721, 0.0000000
goal.joint, roc.v2_ca10, 2, a, 721, 0.3824627
goal.joint, roc.v2_ca20, 2, a, 721, 0.6417910
goal.joint_independent, acc, 2, a, 721, 0.7434119
goal.joint_independent, l2, 2, a, 721, 0.4201508
goal.joint_independent, l2.binary, 2, a, 721, 0.4971427
goal.joint_independent, avgp, 2, a, 721, 0.6914845
goal.joint_independent, neglogp, 2, a, 721, 1.6870696
goal.joint_independent, mrr, 2, a, 721, 0.8082755
goal.joint_independent, update.acc, 2, a, 721, 0.5601966
goal.joint_independent, update.prec, 2, a, 721, 0.8231047
goal.joint_independent, roc.v1_eer, 2, a, 721, 0.2330097
goal.joint_independent, roc.v1_ca05, 2, a, 721, 0.4715673
goal.joint_independent, roc.v1_ca10, 2, a, 721, 0.5783634
